Area,File,PAN,PAS,Both
239,239blast2demPAN_Slope_DEM.tif,Y,N,N
242,242blast2demPAS_Slope_DEM.tif,N,Y,N
243,243blast2demPAS_Slope_DEM.tif,N,Y,N
244,244blast2demPAN_Slope_DEM.tif,Y,N,N
245,245blast2demPAS_Slope_DEM.tif,N,Y,N
246,246blast2demPAS_Slope_DEM.tif,N,Y,N
247,247blast2demPAS_Slope_DEM.tif,N,Y,N
248,248blast2demPAS_Slope_DEM.tif,N,Y,N
249,249blast2demPAS_Slope_DEM.tif,N,Y,N
250,250blast2demPAN_Slope_DEM.tif,Y,N,N
251,251blast2demPAS_Slope_DEM.tif,N,Y,N
252,252blast2demPAN_Slope_DEM.tif,Y,N,N
253,253blast2demPAN_Slope_DEM.tif,Y,N,N
254,254blast2demPAS_Slope_DEM.tif,N,Y,N
255,255blast2demPAN_Slope_DEM.tif,Y,N,N
256,256blast2demPAS_Slope_DEM.tif,N,Y,N
257,257blast2demPAN_Slope_DEM.tif,Y,Y,Y
258,258blast2demPAN_Slope_DEM.tif,Y,Y,Y
259,259blast2demPAS_Slope_DEM.tif,N,Y,N
260,260blast2demPAN_Slope_DEM.tif,Y,N,N
261,261blast2demPAS_Slope_DEM.tif,N,Y,N
262,262blast2demPAS_Slope_DEM.tif,N,Y,N
263,263blast2demPAN_Slope_DEM.tif,Y,N,N
264,264blast2demPAS_Slope_DEM.tif,N,Y,N
265,265blast2demPAS_Slope_DEM.tif,N,Y,N
266,266blast2demPAN_Slope_DEM.tif,Y,N,N
267,267blast2demPAS_Slope_DEM.tif,N,Y,N
268,268blast2demPAN_Slope_DEM.tif,Y,N,N
269,269blast2demPAN_Slope_DEM.tif,Y,N,N
270,270blast2demPAN_Slope_DEM.tif,Y,N,N
271,271blast2demPAS_Slope_DEM.tif,N,Y,N
272,272blast2demPAN_Slope_DEM.tif,Y,N,N
273,273blast2demPAS_Slope_DEM.tif,N,Y,N
274,274blast2demPAS_Slope_DEM.tif,N,Y,N
275,275blast2demPAS_Slope_DEM.tif,N,Y,N
276,276blast2demPAS_Slope_DEM.tif,N,Y,N
277,277blast2demPAN_Slope_DEM.tif,Y,N,N
278,278blast2demPAN_Slope_DEM.tif,Y,Y,Y
279,279blast2demPAS_Slope_DEM.tif,N,Y,N
280,280blast2demPAS_Slope_DEM.tif,N,Y,N
281,281blast2demPAS_Slope_DEM.tif,N,Y,N
282,282blast2demPAN_Slope_DEM.tif,Y,N,N
283,283blast2demPAN_Slope_DEM.tif,Y,N,N
284,284blast2demPAN_Slope_DEM.tif,Y,Y,Y
285,285blast2demPAS_Slope_DEM.tif,N,Y,N
286,286blast2demPAS_Slope_DEM.tif,N,Y,N
287,287blast2demPAS_Slope_DEM.tif,N,Y,N
288,288blast2demPAS_Slope_DEM.tif,N,Y,N
290,290blast2demPAS_Slope_DEM.tif,N,Y,N
291,291blast2demPAN_Slope_DEM.tif,Y,N,N
292,292blast2demPAN_Slope_DEM.tif,Y,N,N
293,293blast2demPAN_Slope_DEM.tif,Y,N,N
294,294blast2demPAN_Slope_DEM.tif,Y,N,N
295,295blast2demPAN_Slope_DEM.tif,Y,N,N
296,296blast2demPAS_Slope_DEM.tif,N,Y,N
297,297blast2demPAS_Slope_DEM.tif,N,Y,N
298,298blast2demPAN_Slope_DEM.tif,Y,N,N
299,299blast2demPAN_Slope_DEM.tif,Y,N,N
300,300blast2demPAN_Slope_DEM.tif,Y,N,N
301,301blast2demPAN_Slope_DEM.tif,Y,N,N
302,302blast2demPAS_Slope_DEM.tif,N,Y,N
303,303blast2demPAS_Slope_DEM.tif,N,Y,N
304,304blast2demPAS_Slope_DEM.tif,N,Y,N
305,305blast2demPAS_Slope_DEM.tif,N,Y,N
306,306blast2demPAN_Slope_DEM.tif,Y,N,N
307,307blast2demPAN_Slope_DEM.tif,Y,N,N
309,309blast2demPAN_Slope_DEM.tif,Y,N,N
310,310blast2demPAN_Slope_DEM.tif,Y,N,N
311,311blast2demPAN_Slope_DEM.tif,Y,N,N
312,312blast2demPAN_Slope_DEM.tif,Y,N,N
313,313blast2demPAN_Slope_DEM.tif,Y,N,N
314,314blast2demPAN_Slope_DEM.tif,Y,N,N
315,315blast2demPAS_Slope_DEM.tif,N,Y,N
316,316blast2demPAN_Slope_DEM.tif,Y,N,N
317,317blast2demPAN_Slope_DEM.tif,Y,Y,Y
